"","logFC","logCPM","PValue","FDR"
"lp_1262",1.06730588582052,5.91744716038249,5.29732306173888e-08,3.83276903878754e-07
"lp_1748",1.06587225354627,2.23408759784776,0.00113910664939914,0.00432586984866157
"lp_3470",1.06362858351787,7.57717626885723,2.29869429568133e-08,1.73696558724862e-07
"lp_1701",1.05496212414562,6.69276237108825,1.24035050394916e-09,1.04020303626646e-08
"lp_1700",1.05120563307391,6.82982231823632,2.21385848131167e-09,1.78886229110366e-08
"lp_0754",1.04796090828176,8.72877775290312,2.96028132072803e-09,2.35757656262297e-08
"lp_3510",1.04307839247722,5.18709425453124,1.28622743302253e-05,7.04878103146504e-05
"lp_0861",1.03819756183045,7.46961595990071,3.10360296369838e-10,2.75958914121615e-09
"lp_1251",1.02890838890566,5.74050332392105,1.41437026037347e-07,9.66486344588539e-07
"lp_1925",1.02764757031991,6.57981713157357,3.75887952627434e-07,2.46948346325561e-06
"lp_3256",1.02489178779516,9.73187275255869,1.85124957029343e-05,9.97242469252955e-05
"lp_1264",1.01683297234913,6.93077929803754,4.07027696888901e-09,3.18430855445946e-08
"lp_2032",1.01150849155472,7.3367754054407,3.99284683509623e-09,3.13480953649045e-08
"lp_3006",1.01026384152643,8.07497314617168,2.23581990284864e-07,1.49099556171894e-06
"lp_2031",1.00919520656156,8.21273248378827,2.05211094235725e-08,1.56129677882438e-07
"lp_1263",1.00599613289208,6.63724667024003,4.12488985276913e-08,3.03405519403018e-07
"lp_1395",1.00414640135592,4.89242724202671,0.000207934194536411,0.000955116818887167
"lp_1784",1.00334500570743,9.81421909443743,9.10441903275241e-08,6.39874496316988e-07
"lp_2913",1.00276848856581,8.15275727866784,4.62652252257724e-08,3.36944765295592e-07
"lp_2030",0.995231629620515,7.96904270667122,1.01246394450993e-09,8.65480761832039e-09
"lp_1760",0.993140600818194,5.74567120760736,3.35072230828117e-07,2.21447737030881e-06
"lp_0206",0.992674174673263,8.59201678705941,4.23335355299369e-08,3.10352475706226e-07
"lp_0857",0.991436189375982,9.53841001724408,2.5765769779868e-08,1.94032021403495e-07
"lp_0513",0.990334321528902,5.93070722682645,2.48101450680277e-05,0.000131725806188521
"lp_0764",0.988858708085448,11.5749665560311,5.41152904147202e-09,4.20390361326984e-08
"lp_2162",0.986230872613853,10.8101534307228,2.70489335850128e-08,2.03004538838029e-07
"lp_1126",0.985759891618415,7.39973132833191,1.9037875784895e-09,1.56690918170102e-08
"lp_2804",0.983234449596141,5.36163216913165,1.61637605847394e-05,8.81442510704754e-05
"lp_1697",0.967509541283678,6.50783414124688,1.20507672049652e-08,9.26402728881699e-08
"lp_0858",0.96665489777266,6.03306539071682,5.78246163212262e-07,3.68944381945806e-06
"lp_3507",0.966626514259501,7.2686734022868,2.73027879835356e-08,2.04217474984959e-07
"lp_2150",0.966550664452429,5.3342073376805,3.65493423377068e-06,2.16944353714967e-05
"lp_0368",0.965823529469591,7.90805238571803,6.75265380729106e-08,4.85401802900727e-07
"lp_1245",0.965614605815492,7.1190627170814,2.87561584159313e-06,1.73005800904543e-05
"lp_2340",0.963102464933279,9.31789799602668,1.16446414307758e-07,7.98180685069275e-07
"lp_3048",0.960992885947089,3.36645152348846,0.00187828565554644,0.00660083244663462
"lp_0364",0.958494955126074,6.85124154997423,3.72005824170194e-07,2.45125266283574e-06
"lp_0363",0.95592865716241,9.28801787129364,1.61323899512658e-06,9.89393666263224e-06
"lp_0878",0.943019413174796,7.83424677358869,1.84955938156211e-07,1.24465789385365e-06
"lp_0765",0.939176649441405,5.68942754775261,9.9993849603043e-07,6.28938588128231e-06
"lp_2956",0.934076745451236,5.8636880521901,9.24634213790235e-06,5.13067706599393e-05
"lp_0435",0.933726926911895,5.05590771240753,0.000113188418488859,0.000542422421069986
"lp_0228",0.931730830034008,8.12220685415632,8.75453091919242e-06,4.882249736799e-05
"lp_2668",0.929972779853389,8.26901766874457,1.46582253433779e-07,9.98563412622728e-07
"lp_1265",0.929601008720254,7.02068856535938,3.33036099112285e-08,2.48263273883703e-07
"lp_2930",0.929068689738605,4.52199358303588,0.000114229496710646,0.000546229170015918
"lp_1873",0.92853193070698,8.85766414668471,2.06650481599048e-07,1.38224823643593e-06
"lp_0137",0.928271737664493,6.84259115600301,2.28475994403125e-08,1.73234880687849e-07
"lp_0369",0.923100627518017,9.21289807639952,5.51043203777959e-07,3.5465396894314e-06
"lp_1923",0.92168832412946,7.23858592438573,4.68519978034643e-08,3.40099420120885e-07
"lp_0022",0.916638076516032,2.77021875436126,0.00192023287191859,0.00669585993237025
"lp_1904",0.916275092663019,9.48889025323882,1.06511143036218e-07,7.34628257576904e-07
"lp_1465",0.907479796313481,3.77626123593398,0.000187958977516138,0.000868770722799017
"lp_3091",0.905598464707113,5.36529973764974,4.9320997999764e-06,2.85108850056077e-05
"lp_2798",0.904516079906081,5.17504264165082,0.000352828599775806,0.00153470043203072
"lp_3119",0.895311414877258,4.8825058764299,0.000275461541239581,0.00122218808077041
"lp_1874",0.890112531565267,8.26208775810413,5.2901624240395e-07,3.41469959382608e-06
"lp_1125",0.886250165936213,7.6323985622309,9.41768474240219e-08,6.57752492734336e-07
"lp_0224",0.883213635451532,4.48842937197529,0.000146422794370398,0.000691215494106739
"lp_0881",0.881301719846245,8.26543081806706,4.34767410497798e-06,2.54649483291567e-05
"lp_3262",0.880705747208179,7.4259702670278,2.91114754989644e-05,0.000153825314450375
"lp_0291",0.880412002689948,5.80742338872755,8.08612186941145e-06,4.54382584235455e-05
"lp_3549",0.866678011162916,6.22222880703568,1.17064190229241e-06,7.3214722363712e-06
"lp_3049",0.862918456428844,9.24415512361758,8.37175143572471e-07,5.28064321330328e-06
"lp_1339",0.846676525094611,4.66169165666742,0.00156900947807284,0.00567612252361647
"lp_2563",0.843394304576519,4.79033329757583,0.000243410627593296,0.00110206774947149
"lp_0585",0.843358562302544,9.58020188768503,1.19978128961079e-06,7.4825796484459e-06
"lp_3178",0.84156826864363,4.02234273814576,0.000421912104472482,0.00179637192173476
"lp_1812",0.835608467150931,6.9489833719129,6.94978626995679e-06,3.96567701074339e-05
"lp_1918",0.833502261950212,5.09215739504354,0.000446503592842002,0.00188296943724227
"lp_2945",0.828091355821892,5.77143465708365,2.15561060916489e-05,0.000115278306490122
"lp_2643",0.820559044835284,7.51144625157298,4.91058311150771e-07,3.17895643534447e-06
"lp_2669",0.818620239832105,8.58509419582025,3.43173413678845e-06,2.04243531689506e-05
"lp_2113",0.816206010899388,10.5321441925519,3.41904161878108e-06,2.04036607654483e-05
"lp_1003",0.809075689756293,5.04182938914281,0.000135475804314492,0.000642277153645149
"lp_0949",0.806177747788627,4.32516053668579,0.000333305932211427,0.00146126600775465
"lp_0882",0.805758146924225,8.07932664939499,3.72447605163739e-06,2.2048101546324e-05
"lp_1443",0.805122382176991,4.58655283347137,0.000400114516551847,0.00171677042567013
"lp_1136",0.804756911116586,8.9471574930454,0.000141094395603444,0.000667485025354753
"lp_3214",0.802246365742999,4.83992472360371,0.00016276919179602,0.000758675769760819
"lp_1521",0.797146338628756,3.33529829627066,0.00230584672957749,0.00781798569568845
"lp_0283",0.796439566720222,5.05510507109208,0.000315963882436292,0.00139074360976928
"lp_2943",0.794882955241138,3.93636134411536,0.00219142292040364,0.00751054233091897
"lp_0883",0.792310319645589,7.34164346459485,1.46383134318553e-06,9.05285640729823e-06
"lp_2677",0.780500625105453,4.92407266623878,0.000790496691158075,0.00314776919824456
"lp_2349",0.776247232757797,10.4232211677366,1.19791678941624e-05,6.61393459293657e-05
"lp_1320",0.770081027541967,5.87025464040869,0.000850036572417868,0.0033427725956184
"lp_2601",0.769206674040019,6.11232954499338,2.9407266810165e-05,0.000155018306470727
"lp_3417",0.767890215757235,6.02185155970365,2.97090447587446e-05,0.000156237114241949
"lp_1825",0.767014506025946,3.96381126789144,0.0017001769669014,0.00607127710438661
"lp_1703",0.764348497962077,7.67351429562887,3.88529640911528e-06,2.28777825792054e-05
"lp_3263",0.763466344568939,6.88237032137281,0.000592517277050558,0.00241589917383045
"lp_1906",0.760941669375885,7.73608194218762,6.79871170050412e-06,3.88949553098608e-05
