ID	WCFS1.glc.1	WCFS1.glc.2	WCFS1.rib.1	WCFS1.rib.2	NC8.glc.1	NC8.glc.2	NC8.rib.1	NC8.rib.2
lp_1812	791	1055	1282	1619	760	962	1406	1239
lp_1813	317	435	375	369	413	551	448	512
lp_1814	613	712	755	882	541	711	793	746
lp_1815	355	380	516	509	332	492	484	490
lp_1816	9	9	5	7	7027	6821	8017	8473
lp_1817	13	24	30	34	7053	6860	8090	8087
lp_1818	869	913	1136	983	5165	4098	2791	3362
lp_1819	987	1173	1347	1207	9085	7688	5536	6068
lp_1820	1032	1085	525	562	473	520	396	399
lp_1821	610	769	691	861	659	731	891	744
lp_1822	243	314	207	299	266	388	428	452
lp_1824	57	57	119	160	18	32	96	110
lp_1825	108	130	163	194	39	45	122	115
lp_1833	266	258	359	420	392	503	785	749
lp_1834	4	2	7	3	14	1	6	1
lp_1835	1761	2060	3776	3538	971	1019	3218	2132
lp_1836	1611	1732	3687	3301	1222	863	3018	1960
lp_1837	16865	16482	15060	14478	14469	12249	12552	11704
lp_1838	18172	18675	14725	13956	16723	16319	12919	12885
lp_1842	1729	2213	2066	1970	1807	2055	2178	1972
lp_1843	4010	4152	3829	4209	3477	3897	3540	3929
lp_1845	7321	6569	6204	6753	6845	7317	5729	6998
lp_1846	2136	1966	1614	2044	1909	2399	1607	1974
lp_1847	2567	2280	1820	2198	2219	2528	1649	1898
lp_1848	16345	19008	9518	9557	13413	15914	13970	12548
lp_1850	8362	9466	8285	9093	7556	9186	7966	8014
lp_1852	1342	1582	1421	1440	1195	1630	1250	1208
lp_1853	1191	1311	1296	1306	1069	1248	1189	1112
lp_1854	1517	1601	1837	1793	1332	1319	1308	1216
lp_1856	209	249	221	242	126	170	191	156
lp_1857	217	339	293	291	229	239	439	396
lp_1859	58	86	24	41	127	146	99	76
lp_1860	117	138	59	99	179	255	125	140
lp_1863	1163	1181	657	682	1247	1577	705	931
lp_1864	7781	8956	7391	7255	7000	8339	6413	6878
lp_1865	1539	1692	1508	1426	1546	1502	1197	1165
lp_1866	1618	1819	1752	1556	1822	1822	1545	1687
lp_1867	4123	4556	3796	3938	3612	4281	3082	3907
lp_1868	6382	7183	6761	7629	5631	6979	7645	8286
lp_1869	2081	2019	2342	2781	1691	2159	2431	2875
lp_1870	3807	4153	4420	5629	2981	4246	4810	5438
lp_1871	6621	6883	7378	9204	5204	7082	7494	9009
lp_1872	2352	2359	8635	9117	1776	1840	10571	9439
lp_1873	3297	3336	5199	5939	2743	3201	5167	5535
lp_1874	2220	2246	3388	3915	1668	1880	3468	3560
lp_1876	2001	2353	4692	5404	1348	1635	4794	4685
lp_1877	2409	2422	1834	2108	1616	1725	1356	1440
lp_1879	54781	61244	52821	43815	57557	44367	67213	52528
lp_1881	8951	8958	7194	7900	6895	6897	9030	8647
lp_1882	61825	68563	61906	58635	57406	55284	67041	60939
lp_1883	16246	16144	13564	13236	16471	16578	14180	13722
lp_1884	12431	13782	10850	10679	12169	13062	11208	11286
lp_1885	2375	2633	3366	3563	1372	1743	1515	1782
lp_1886	1638	1974	2368	2486	868	1280	1247	1347
lp_1887	1663	1910	1901	1851	629	556	1038	769
lp_1888	2179	2091	1966	1963	2110	1744	1754	1923
lp_1889	2571	2702	2045	2616	2198	2611	2293	2843
lp_1890	2573	2772	2039	2492	1868	2401	2210	2681
lp_1891	1704	1654	1208	1543	1257	1664	1390	1861
lp_1892	1427	1285	1159	1312	1236	1270	1298	1368
lp_1893	2737	2734	2296	2451	2471	2665	2707	2878
